政 ,セイ ショウ マ ,まつりごと ,"politics, government"
満 ,マン バン ミ.タ ,み.ちる み.つ ,"full, enough, pride, satisfy"
敗 ,ハイ ,やぶ.れる ,"failure, defeat, reversal"
管 ,カン ク ,,"pipe, tube, wind instrument, drunken talk"
値 ,チ アタ ,ね ,"price, cost, value"
突 ,トツ カ ,つ.く ,"stab, protruding, thrusting, thrust, pierce, prick"
兵 ,ヘイ ヒョウ ツワモ ,,"soldier, private, troops, army, warfare, strategy, tactics"
接 ,セツ ショウ ,つ.ぐ ,"touch, contact, adjoin, piece together"
光 ,コウ ヒカ ,ひか.る ,"ray, light"
路 ,ロ ル ,-じ みち ,"path, route, road, distance"
科 ,,,"department, course, section"
細 ,サイ ,ほそ.い ほそ.る こま.か こま.かい ,"dainty, get thin, taper, slender, narrow"
効 ,コウ ,き.く ききめ なら.う ,"merit, efficacy, efficiency, benefit"
積 ,セキ ツ.モ ,つ.む -づ.み つ.もる ,"volume, product (x*y), acreage, contents, pile up, stack, load, amass"
丸 ,ガン マル. ,まる まる.める ,"round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away"
他 ,タ ,ほか ,"other, another, the others"
湾 ,ワン ,いりえ ,"gulf, bay, inlet"
録 ,ロク ,,record
処 ,ショ ,ところ -こ お.る ,"dispose, manage, deal with, sentence, condemn, act, behave, place"
省 ,セイ ショウ ハブ. ,かえり.みる ,"focus, government ministry, conserve"
旧 ,キュウ ,ふる.い もと ,"old times, old things, old friend, former, ex-"
太 ,タイ タ フト. ,ふと.い ,"plump, thick, big around"
橋 ,キョウ ハ ,,bridge
岸 ,ガン キ ,,beach
客 ,キャク カク ,,"guest, visitor, customer, client"
否 ,ヒ ,いな いや ,"negate, no, noes, refuse, decline, deny"
周 ,シュウ マワ. ,,"circumference, circuit, lap"
師 ,,,"expert, teacher, master, army, war"
材 ,ザ ,,"lumber, log, timber, wood, talent"
登 ,トウ ト ドウ ショウ チョウ ア.ガ ,のぼ.る ,"ascend, climb up"
易 ,エキ イ ,やさ.しい やす.い ,"easy, ready to, simple, fortune-telling, divination"
戸 ,コ ,,door
速 ,ソク スミ.ヤ ,はや.い はや- はや.める ,"quick, fast"
存 ,ソン ゾ ,,"suppose, be aware of, believe, feel"
飛 ,ヒ -ト.バ ,と.ぶ と.ばす ,"fly, skip (pages), scatter"
殺 ,サツ サイ セツ ,ころ.す -ごろ.し そ.ぐ ,"kill, murder, butcher, slice off, split, diminish, reduce, spoil"
央 ,オ ,,"center, middle"
券 ,ケン ,,ticket
号 ,ゴウ ,さけ.ぶ よびな ,"nickname, number, item, title, pseudonym, name, call"
単 ,タン ,ひとえ ,"simple, one, single, merely"
座 ,ザ ,すわ.る ,"squat, seat, cushion, gathering, sit"
破 ,ハ ヤブ.レ ,やぶ.る ,"rend, rip, tear, break, destroy, defeat, frustrate"
編 ,ヘン ,あ.む -あ.み ,"compilation, knit, plait, braid, twist, editing, completed poem, part of a book"
捜 ,ソウ シュ シュウ ,さが.す ,"search, look for, locate"
竹 ,チク タ ,,bamboo
除 ,ジョ ジ ,のぞ.く -よ.け ,"exclude, division (x, 3), remove, abolish, cancel, except"
完 ,カン ,,"perfect, completion, end"
降 ,コウ ゴ クダ. ,お.りる お.ろす ふ.る ふ.り くだ.る ,"descend, precipitate, fall, surrender"
超 ,チョウ コ. ,こ.える ,"transcend, super-, ultra-"
責 ,セキ ,せ.める ,"blame, condemn, censure"
並 ,ヘイ ホウ ナラ.ビ ,な.み なら.べる なら.ぶ ,"row, and, besides, as well as, line up, rank with, rival, equal"
療 ,リョウ ,,"heal, cure"
捕 ,ホ ,と.らえる と.らわれる と.る とら.える とら.われる つか.まえる つか.まる ,"catch, capture"
危 ,キ ,あぶ.ない あや.うい あや.ぶむ ,"dangerous, fear, uneasy"
採 ,サイ ,と.る ,"pick, take, fetch, take up"
森 ,シン モ ,,"forest, woods"
競 ,キョウ ケイ セ. ,きそ.う ,"emulate, compete with, bid, sell at auction, bout, contest, race"
給 ,キュウ -タマ. ,たま.う たも.う ,"salary, wage, gift, allow, grant, bestow on"
介 ,カ ,,"jammed in, shellfish, mediate, concern oneself with"
根 ,コン ,ね -ね ,"root, radical, head (pimple)"
苦 ,ク ,くる.しい -ぐる.しい くる.しむ くる.しめる にが.い にが.る ,"suffering, trial, worry, hardship, feel bitter, scowl"
迎 ,ゲイ ムカ.エ ,,"welcome, meet, greet"
販 ,ハン ,,"marketing, sell, trade"
園 ,エン ソ ,,"park, garden, yard, farm"
具 ,グ ツブサ. ,そな.える ,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture"
歴 ,レキ レッキ ,,"curriculum, continuation, passage of time"
辞 ,ジ ,や.める いな.む ,"resign, word, term, expression"
将 ,ショウ ソウ モッ ,まさ.に はた まさ ひきい.る ,"leader, commander, general, admiral, or, and again, soon, from now on, just about"
因 ,イン チナ. ,よ.る ,"cause, factor, be associated with, depend on, be limited to"
馬 ,バ ,うま うま- ,horse
愛 ,アイ イト.シ ,,"love, affection, favourite"
幅 ,フク ,はば ,"hanging scroll, width"
富 ,フ フウ ト ,と.む ,"wealth, enrich, abundant"
彼 ,ヒ カ. ,かれ かの ,"he, that, the"
般 ,ハン ,,"carrier, carry, all"
未 ,ミ ビ ,いま.だ ま.だ ひつじ ,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac"
貿 ,ボウ ,,"trade, exchange"
講 ,コウ ,,"lecture, club, association"
舞 ,ブ ,ま.う -ま.う まい ,"dance, flit, circle, wheel"
林 ,リン ハヤ ,,"grove, forest"
装 ,ソウ ショウ ,よそお.う よそお.い ,"attire, dress, pretend, disguise, profess"
諸 ,ショ ,もろ ,"various, many, several, together"
亡 ,ボウ モウ ,な.い な.き- ほろ.びる ほろ.ぶ ほろ.ぼす ,"deceased, the late, dying, perish"
劇 ,ゲキ ,,"drama, play"
河 ,カ カ ,,river
航 ,コ ,,"navigate, sail, cruise, fly"
冷 ,レイ ,つめ.たい ひ.える ひ.や ひ.ややか ひ.やす ひ.やかす さ.める さ.ます ,"cool, cold (beer, person), chill"
適 ,テキ ,かな.う ,"suitable, occasional, rare, qualified, capable"
婦 ,,,"lady, woman, wife, bride"
鉄 ,テツ クロガ ,,iron
寄 ,キ ヨ.セ ,よ.る -よ.り ,"draw near, stop in, bring near, gather, collect, send, forward"
込 ,コ.メ ,-こ.む こ.む こ.み -こ.み ,"crowded, mixture, in bulk, included, (kokuji)"
顔 ,ガン ,かお ,"face, expression"
類 ,ルイ ,たぐ.い ,"sort, kind, variety, class, genus"
児 ,ジ ニ ゲイ -ッ ,こ -こ ,"newborn babe, child, young of animals"
余 ,ヨ アマ. ,あま.る あま.り ,"too much, myself, surplus, other, remainder"
禁 ,キン ,,"prohibition, ban, forbid"
印 ,イン ,しるし -じるし しる.す ,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
逆 ,ギャク ゲキ ,さか さか.さ さか.らう ,"inverted, reverse, opposite, wicked"
王 ,オウ -ノ ,,"king, rule, magnate"
返 ,ヘン ,かえ.す -かえ.す かえ.る -かえ.る ,"return, answer, fade, repay"
換 ,カン ,か.える -か.える か.わる ,"interchange, period, charge, change?"
久 ,キュウ ク ヒサ.シ ,,"long time, old story"
短 ,タン ,みじか.い ,"short, brevity, fault, defect, weak point"
油 ,ユ ユウ ,あぶら ,"oil, fat"
妻 ,サイ ツ ,,"wife, spouse"
