お兄さん,おにいさん
向かう,むかう
君,きみ
君,くん
周り,まわり
味,あじ
味噌,みそ
品物,しなもの
喜ぶ,よろこぶ
噛む,かむ
回る,まわる
国際,こくさい
地理,ちり
地震,じしん
坂,さか
堅/硬/固い,かたい
場合,ばあい
場所,ばしょ
塗る,ぬる
増える,ふえる
壁,かべ
壊す,こわす
壊れる,こわれる
売り場,うりば
変,へん
変える,かえる
変わる,かわる
夢,ゆめ
大事,だいじ
大体,だいたい
大分,だいぶ
大学生,だいがくせい
天気予報,てんきよほう
太る,ふとる
夫,おっと
失敗,しっぱい
女性,じょせい
妻,つま
始める,はじめる
娘,むすめ
子,こ
字,じ
季節,きせつ
安全,あんぜん
安心,あんしん
客,きゃく
家内,かない
寂しい,さびしい
寄る,よる
寝坊,ねぼう
寺,てら
将来,しょうらい
尋ねる,たずねる
小学校,しょうがっこう
小説,しょうせつ
小鳥,ことり
届ける,とどける
屋上,おくじょう
展覧会,てんらんかい
島,しま
工場,こうじょう/こうば
工業,こうぎょう
差し上げる,さしあげる
市,し
市民,しみん
布団,ふとん
席,せき
帰り,かえり
店員,てんいん
建てる,たてる
引き出し,ひきだし
引っ越す,ひっこす
形,かたち
役に立つ,やくにたつ
彼,かれ
彼女,かのじょ
御主人,ごしゅじん
復習,ふくしゅう
心,こころ
必ず,かならず
必要,ひつよう
忘れ物,わすれもの
怒る,おこる
怖い,こわい
思い出す,おもいだす
思う,おもう
急,きゅう
急ぐ,いそぐ
急行,きゅうこう
恥ずかしい,はずかしい
息子,むすこ
悲しい,かなしい
意見,いけん
慣れる,なれる
戦争,せんそう
戻る,もどる
手伝う,てつだう
手袋,てぶくろ
打つ,うつ
払う,はらう
技術,ぎじゅつ
投げる,なげる
折る,おる
折れる,おれる
押し入れ,おしいれ
拝見,はいけん・する
拾う,ひろう
指,ゆび
指輪,ゆびわ
捕まえる,つかまえる
捨てる,すてる
掛ける,かける
探す,さがす
揺れる,ゆれる
政治,せいじ
故障,こしょう・する
教会,きょうかい
教育,きょういく
数学,すうがく
文化,ぶんか
文学,ぶんがく
文法,ぶんぽう
新聞社,しんぶんしゃ
旅館,りょかん
日,ひ
日記,にっき
明日,あす・あした
昔,むかし
星,ほし
昼休み,ひるやすみ
昼間,ひるま
時代,じだい
普通,ふつう
景色,けしき
暖房,だんぼう
暮れる,くれる
最初,さいしょ
最後,さいご
最近,さいきん
木綿,もめん
林,はやし
枝,えだ
柔らかい,やわらかい
柔道,じゅうどう
校長,こうちょう
棚,たな
森,もり
植える,うえる
楽しみ,たのしみ
楽む,たのしむ
機会,きかい
止む,やむ
止める,とめる
止める,やめる
正しい,ただしい
歯医者,はいしゃ
歴史,れきし
残る,のこる
残念,ざんねん
比べる,くらべる
毛,け
気,き
気分,きぶん
気持ち,きもち
水泳,すいえい
水道,すいどう
汚れる,よごれる
決して,けっして
決める,きめる
決る,きまる
汽車,きしゃ
沸かす,わかす
沸く,わく
治る,なおる
泊まる,とまる
法律,ほうりつ
泣く,なく
泥棒,どろぼう
注射,ちゅうしゃ
注意,ちゅうい
泳ぎ方,およぎかた
浅い,あさい
海岸,かいがん
消しゴム,けしゴム
消しゴム,けしゴム
深い,ふかい
済む,すむ
港,みなと
湖,みずうみ
湯,ゆ
滑る,すべる
漫画,まんが
漬ける,つける
火,ひ
火事,かじ
点,てん
為,ため
無くなる,なくなる
無理,むり
焼く,やく
焼ける,やける
熱,ねつ
片付ける,かたづける
特に,とくに
特別,とくべつ
特急,とっきゅう
珍しい,めずらしい
理由,りゆう
生きる,いきる
生活,せいかつ・する
生産,せいさん・する
産業,さんぎょう
用,よう
用事,ようじ
用意,ようい
田舎,いなか
申し上げる,もうしあげる
申す,もうす
男性,だんせい
留守,るす
番組,ばんぐみ
畳,たたみ
痩せる,やせる
発音,はつおん
皆,みな
盗む,ぬすむ
盛ん,さかん
直す,なおす
直る,なおる
看護師,かんごし
真中,まんなか
眠い,ねむい
眠る,ねむる
着物,きもの
知らせる,しらせる
石,いし
砂,すな
研究,けんきゅう
研究室,けんきゅうしつ
確か,たしか
社会,しゃかい
社長,しゃちょう
祈る,いのる
祖母,そぼ
祖父,そふ
神社,じんじゃ
科学,かがく
移る,うつる
空く,あく
空気,くうき
空港,くうこう
立てる,たてる
競争,きょうそう
笑う,わらう
答,こたえ
簡単,かんたん
米,こめ
糸,いと
約束,やくそく
細かい,こまかい
紹介,しょうかい
終わり,おわり
経済,けいざい
絹,きぬ
続く,つづく
続ける,つづける
線,せん
美しい,うつくしい
美術館,びじゅつかん
習慣,しゅうかん
翻訳,ほんやく
考える,かんがえる
聞こえる,きこえる
育てる,そだてる
背中,せなか
腕,うで
自由,じゆう
致す,いたす
興味,きょうみ
舟,ふね
花見,はなみ
苦い,にがい
草,くさ
落す,おとす
落る,おちる
葉,は
虫,むし
血,ち
行う,おこなう
表,おもて
裏,うら
複雑,ふくざつ
西洋,せいよう
見える,みえる
見つかる,みつかる
見つける,みつける
見物,けんぶつ
規則,きそく
親,おや
親切,しんせつ
触る,さわる
訪ねる,たずねる
訳,わけ
試合,しあい
試験,しけん
説明,せつめい
課長,かちょう
調べる,しらべる
講堂,こうどう
講義,こうぎ
謝る,あやまる
警察,けいさつ
負ける,まける
貿易,ぼうえき
贈り物,おくりもの
赤ん坊,あかんぼう
起す,おこす
趣味,しゅみ
足す,たす
足りる,たりる
踊り,おどり
踊る,おどる
踏む,ふむ
辞典,じてん
込む,こむ
迎える,むかえる
近所,きんじょ
返事,へんじ
退院,たいいん・する
送る,おくる
逃げる,にげる
途中,とちゅう
通う,かよう
通る,とおる
連絡,れんらく
進む,すすむ
遅れる,おくれる
遊び,あそび
運ぶ,はこぶ
運転手,うんてんしゅ
過ぎる,すぎる
道具,どうぐ
遠く,とおく
遠慮,えんりょ・する
適当,てきとう
選ぶ,えらぶ
郊外,こうがい
部長,ぶちょう
都,と
都合,つごう
釣る,つる
鏡,かがみ
開く,ひらく
間,あいだ
間に合う,まにあう
間違える,まちがえる
関係,かんけい
降り出す,ふりだす
隅,すみ
集める,あつめる
集る,あつまる
雲,くも
電報,でんぽう
電灯,でんとう
非常に,ひじょうに
音,おと
飛行場,ひこうじょう
食料品,しょくりょうひん
飾る,かざる
首,くび
駐車場,ちゅうしゃじょう
騒ぐ,さわぐ
驚く,おどろく
高校,こうこう
高校生,こうこうせい
高等学校,こうとうがっこう
髪,かみ
鳴る,なる
定期,ていき
宜しい,よろしい
宝,たから
宝石,ほうせき
実,み
実に,じつに
実は,じつは
実施,じっし
実現,じつげん
実行,じっこう
実際,じっさい
実験,じっけん
害,がい
家事,かじ
家具,かぐ
家賃,やちん
容易,ようい
宿,やど
宿泊,しゅくはく
寄付,きふ
密な,みつな
寧ろ,むしろ
審判,しんぱん
対,つい
対する,たいする
対象,たいしょう
専攻,せんこう
尊敬,そんけい
尊重,そんちょう
小,しょう
小包,こづつみ
小屋,こや
小麦,こむぎ
少々,しょうしょう
少しも,すこしも
少女,しょうじょ
少年,しょうねん
尤も,もっとも
就く,つく
就職,しゅうしょく
尻,しり
局,きょく
居る,おる
居眠り,いねむり
居間,いま
届く,とどく
屋根,やね
履く,はく
岩,いわ
